Id,Rating
466-0,12
1173-0,38
566-1,26
49-3,42
772-3,52
1068-3,44
1534-3,8
39132-150,22
39671-150,22
40638-150,4
40715-150,58
40843-150,36
40742-151,14
2902-4,38
2087-6,4
2736-6,60
3699-6,50
2132-7,28
4554-7,2
4566-7,0
2075-8,16
4648-8,56
4955-8,58
24180-69,46
24711-69,12
21545-70,8
21549-70,34
24174-70,20
24906-70,56
47507-173,6
47603-173,16
49132-174,58
49140-174,58
49123-175,36
50270-175,0
50292-175,22
1874-9,22
4858-9,24
2225-10,44
2684-10,52
5316-10,56
2501-11,22
4101-11,26
4207-11,18
4349-11,10
37779-11,60
2184-13,2
2283-13,26
5057-13,12
5365-13,48
6828-15,24
7084-16,56
39004-148,28
38847-149,56
39088-149,10
6683-17,10
8137-17,52
7885-18,16
8355-18,60
9376-20,24
8400-21,12
9591-21,38
8805-22,18
10043-22,52
8255-23,46
8570-23,40
5922-25,50
9634-25,10
10334-27,36
33857-140,18
34230-140,20
35230-140,42
35807-140,46
34337-141,20
35457-141,22
35593-141,10
34102-142,58
34364-142,36
35230-142,28
36023-142,30
36034-143,44
33230-144,42
34864-145,10
35548-145,38
35776-145,18
8055-28,12
9533-28,32
10637-28,2
7824-29,18
10141-29,56
39480-152,38
40162-152,56
40289-152,36
40829-152,46
39259-153,42
39910-153,32
40221-154,50
11144-30,58
11537-31,50
13117-31,14
13274-31,56
13409-31,18
13566-31,12
12180-32,4
13368-32,54
28140-94,18
28192-94,24
28368-94,20
29656-94,0
28698-95,34
29663-95,50
30008-96,28
31779-96,54
31843-96,26
11986-33,10
33280-134,56
33284-134,52
33919-135,58
34709-135,20
34911-135,54
34954-135,22
34121-137,46
34885-137,52
34031-138,4
33644-139,30
33906-139,16
34885-139,40
35105-139,46
16656-38,14
16822-38,56
16842-38,30
17703-44,56
18882-44,26
19032-44,38
19064-44,58
18833-45,12
18113-46,52
17142-22,2
17169-22,44
19594-22,18
19925-22,4
17303-47,32
19484-47,8
17450-48,48
19549-48,48
19581-48,60
22173-48,44
22248-48,16
22323-48,18
17527-49,40
18104-49,48
17260-50,28
20068-50,32
19845-51,8
21802-60,10
21959-60,44
22796-60,8
20035-52,46
33156-52,40
18373-53,16
19805-53,4
19833-53,20
19836-53,50
18373-55,52
20951-55,38
32500-55,14
32630-108,26
32516-109,10
32566-110,2
32954-110,60
33018-110,56
33102-111,26
32289-112,36
33064-112,38
32292-113,12
32406-117,8
33132-120,38
32735-121,26
33099-122,22
32711-124,32
32576-125,24
33081-126,36
32766-127,40
33200-127,30
33032-129,10
32711-130,18
32445-131,0
